,model,parameters,cross_k,top_k,precision,recall,AUC ROC
146,logistic_reg,"{'C': 100, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.05,0.45279615153337344,0.08665132336018412,0.6531952019066676
147,logistic_reg,"{'C': 100, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.1,0.43445580276608536,0.16628308400460298,0.6531952019066676
148,logistic_reg,"{'C': 100, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.2,0.4085375018788516,0.3127733026467204,0.6531952019066676
149,logistic_reg,"{'C': 100, 'penalty': 'l2', 'fit_intercept': False, 'seed': 1234}",1,0.3,0.38587174348697395,0.4431530494821634,0.6531952019066676
150,svm,"{'C': 0.01, 'seed': 1234}",1,0.01,0.4819277108433735,0.018411967779056387,0.6559062179016384
151,svm,"{'C': 0.01, 'seed': 1234}",1,0.05,0.46001202645820805,0.08803222094361335,0.6559062179016384
152,svm,"{'C': 0.01, 'seed': 1234}",1,0.1,0.43445580276608536,0.16628308400460298,0.6559062179016384
153,svm,"{'C': 0.01, 'seed': 1234}",1,0.2,0.41034119945889075,0.3141542002301496,0.6559062179016384
154,svm,"{'C': 0.01, 'seed': 1234}",1,0.3,0.3849699398797595,0.44211737629459147,0.6559062179016384
155,svm,"{'C': 0.1, 'seed': 1234}",1,0.01,0.45481927710843373,0.017376294591484466,0.6536950625986959
156,svm,"{'C': 0.1, 'seed': 1234}",1,0.05,0.45279615153337344,0.08665132336018412,0.6536950625986959
157,svm,"{'C': 0.1, 'seed': 1234}",1,0.1,0.4350571256764883,0.1665132336018412,0.6536950625986959
158,svm,"{'C': 0.1, 'seed': 1234}",1,0.2,0.41004058319555087,0.3139240506329114,0.6536950625986959
159,svm,"{'C': 0.1, 'seed': 1234}",1,0.3,0.3855711422845691,0.4428078250863061,0.6536950625986959
160,svm,"{'C': 1, 'seed': 1234}",1,0.01,0.4457831325301205,0.01703107019562716,0.65334910783673
161,svm,"{'C': 1, 'seed': 1234}",1,0.05,0.45279615153337344,0.08665132336018412,0.65334910783673
162,svm,"{'C': 1, 'seed': 1234}",1,0.1,0.4350571256764883,0.1665132336018412,0.65334910783673
163,svm,"{'C': 1, 'seed': 1234}",1,0.2,0.4095896588005411,0.3135788262370541,0.65334910783673
164,svm,"{'C': 1, 'seed': 1234}",1,0.3,0.38607214428857717,0.4433831990794016,0.65334910783673
165,svm,"{'C': 10, 'seed': 1234}",1,0.01,0.45180722891566266,0.01726121979286536,0.6534099857246198
166,svm,"{'C': 10, 'seed': 1234}",1,0.05,0.45941070354780517,0.08791714614499424,0.6534099857246198
167,svm,"{'C': 10, 'seed': 1234}",1,0.1,0.4353577871316897,0.1666283084004603,0.6534099857246198
168,svm,"{'C': 10, 'seed': 1234}",1,0.2,0.4085375018788516,0.3127733026467204,0.6534099857246198
169,svm,"{'C': 10, 'seed': 1234}",1,0.3,0.3847695390781563,0.44188722669735325,0.6534099857246198
170,svm,"{'C': 100, 'seed': 1234}",1,0.01,0.4246987951807229,0.01622554660529344,0.5748706608235505
171,svm,"{'C': 100, 'seed': 1234}",1,0.05,0.38063740228502707,0.07284234752589183,0.5748706608235505
172,svm,"{'C': 100, 'seed': 1234}",1,0.1,0.3550811785929044,0.13590333716915995,0.5748706608235505
173,svm,"{'C': 100, 'seed': 1234}",1,0.2,0.3368405230722982,0.25788262370540854,0.5748706608235505
174,svm,"{'C': 100, 'seed': 1234}",1,0.3,0.3225450901803607,0.3704257767548907,0.5748706608235505
175,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'euclidean'}",2,0.01,0.4230769230769231,0.006918238993710692,0.5849302328261126
176,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'euclidean'}",2,0.05,0.43320235756385067,0.05547169811320755,0.5849302328261126
177,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'euclidean'}",2,0.1,0.43320235756385067,0.05547169811320755,0.5849302328261126
178,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'euclidean'}",2,0.2,0.41855473408061056,0.22075471698113208,0.5849302328261126
179,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'euclidean'}",2,0.3,0.41855473408061056,0.22075471698113208,0.5849302328261126
180,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'manhattan'}",2,0.01,0.4230769230769231,0.006918238993710692,0.5849302328261126
181,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'manhattan'}",2,0.05,0.43320235756385067,0.05547169811320755,0.5849302328261126
182,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'manhattan'}",2,0.1,0.43320235756385067,0.05547169811320755,0.5849302328261126
183,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'manhattan'}",2,0.2,0.41855473408061056,0.22075471698113208,0.5849302328261126
184,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'manhattan'}",2,0.3,0.41855473408061056,0.22075471698113208,0.5849302328261126
185,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'minkowski'}",2,0.01,0.4230769230769231,0.006918238993710692,0.5849302328261126
186,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'minkowski'}",2,0.05,0.43320235756385067,0.05547169811320755,0.5849302328261126
187,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'minkowski'}",2,0.1,0.43320235756385067,0.05547169811320755,0.5849302328261126
188,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'minkowski'}",2,0.2,0.41855473408061056,0.22075471698113208,0.5849302328261126
189,KNN,"{'k': 5, 'weights': 'uniform', 'metric': 'minkowski'}",2,0.3,0.41855473408061056,0.22075471698113208,0.5849302328261126
190,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'euclidean'}",2,0.01,0.0,0.0,0.5845325581345104
191,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'euclidean'}",2,0.05,0.41732283464566927,0.06666666666666667,0.5845325581345104
192,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'euclidean'}",2,0.1,0.42739079102715466,0.13660377358490566,0.5845325581345104
193,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'euclidean'}",2,0.2,0.40444794331824446,0.25849056603773585,0.5845325581345104
194,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'euclidean'}",2,0.3,0.39632156630080095,0.3361006289308176,0.5845325581345104
195,KNN,"{'k': 5, 'weights': 'distance', 'metric': 'manhattan'}",2,0.01,0.0,0.0,0.584535406435648
